宗教,场所名称,场所类别,所在区,地址,联系电话,邮政编码,负责人,文物保护级别,统一社会信用代码
基督教,奉贤区基督教长堤耶稣堂,寺观教堂,奉贤区,上海市奉贤区庄行镇长堤村10组,021-57468407,201415,钱桂芳,无,71310120596417316U
基督教,奉贤区基督教庄行真光堂,寺观教堂,奉贤区,上海市奉贤区庄行镇庄北村301号,021-57468268,201415,何爱明,无,71310120596410720E
基督教,奉贤区基督教朱新耶稣堂,寺观教堂,奉贤区,上海市奉贤区奉城镇朱新村304号,021-57132162,201411,黄红娟,无,71310120596410704Q
基督教,奉贤区基督教柘林三一堂,寺观教堂,奉贤区,上海市奉贤区化工分区冯桥村10组,021-57445913,201424,陈莉,无,713101205964174718
基督教,奉贤区基督教西渡永生堂,寺观教堂,奉贤区,上海市奉贤区奉金公路758号,021-57430094,201401,潘群莲,无,713101204249175096
基督教,奉贤区基督教海湾耶稣堂,固定处所,奉贤区,上海市奉贤区海湾镇星火海振路2125弄10号,021-57502231,201419,钱瑛,无,71310120596417447P
佛教（汉语系）,上海东海观音寺,固定处所,奉贤区,上海市奉贤区海湾旅游区金汇塘路999号,021-57123999,201418,慧芝,无,71310120560165006Y
佛教（汉语系）,奉贤区旃檀禅院,寺观教堂,奉贤区,上海市奉贤区金汇镇西街1158号,021-57482018,201404,果圣,无,71310120557400730M
佛教（汉语系）,上海小普陀观音禅院,固定处所,奉贤区,上海市奉贤区奉柘公路5500号,021-57445692,201424,悟继,无,713101203589223685
佛教（汉语系）,上海奉贤万佛阁,寺观教堂,奉贤区,上海市奉贤区奉城镇万佛阁路9号,021-57522936,201411,性康,市县级文物保护单位,71310120737482892N
佛教（汉语系）,上海市奉贤区文殊阁,固定处所,奉贤区,上海市奉贤区金汇镇齐贤社区白沙村3组,021-57522936,201411,隆妙,无,7131012057267879X0
佛教（汉语系）,上海市奉贤区洪福禅寺,寺观教堂,奉贤区,上海市奉贤区奉城镇洪庙唐城街303号,021-57132124,201411,本如,无,71310120425175834C
佛教（汉语系）,奉贤区二严寺,寺观教堂,奉贤区,上海市奉贤区沪杭公路1749号,021—67100214,201499,智能,无,71310120424917525U
佛教（汉语系）,上海市奉贤区报恩寺,固定处所,奉贤区,上海市奉贤区青村镇沿钱公路4366号,021-57565403,201414,智祥,无,71310120588705975W
佛教（汉语系）,上海市奉贤区保境禅寺,寺观教堂,奉贤区,上海市奉贤区奉柘公路3398号,021-57598412,201407,印明,无,71310120588711638U
天主教,上海奉贤区塘外天主堂,寺观教堂,奉贤区,上海市奉贤区奉城镇塘外社区人民路128弄2号,021-57170264,201408,余稼轩,无,71310120312173592W
天主教,上海奉贤区青村天主堂,寺观教堂,奉贤区,上海市奉贤区青村镇南奉公路2895号,021-57560451,201414,余稼轩,无,713101203121736480
天主教,南桥天主堂,寺观教堂,奉贤区,上海市奉贤区南桥镇新建中路558号,021-57412560,201499,卢庆林,市县级文物保护单位,71310120MCU1816399
天主教,上海奉贤区李家桥天主堂,固定处所,奉贤区,上海市奉贤区奉城镇头桥社区朝阳村21组,无,201409,李纲耀,无,71310120MCU18176X0
天主教,上海奉贤区泰日天主堂,寺观教堂,奉贤区,上海市奉贤区金汇镇泰日社区明星村6组,021-57584330,201405,李纲耀,无,71310120MCU18184XK
天主教,上海奉贤区庄家桥天主堂,固定处所,奉贤区,上海市奉贤区金汇镇泰日社区光星村11组,无,201405,李纲耀,无,71310120MCU1818749
天主教,上海市奉贤区南桥圣安德肋堂,固定处所,奉贤区,上海市奉贤区南桥镇南奉公路浦星路,021-57412560,201406,卢庆林,无,71310120MCU181997A
天主教,上海市奉贤区朱庄天主堂,寺观教堂,奉贤区,上海市奉贤区柘林镇金海村翁家9组,021-33653033,201416,卢庆林,无,71310120MCU182033U
天主教,上海市奉贤区柘林天主圣三堂,固定处所,奉贤区,上海市奉贤区柘林镇东海121组,无,201424,卢庆林,无,71310120MCU1820769
天主教,上海奉贤区平安天主堂,寺观教堂,奉贤区,上海市奉贤区四团镇平安社区平禄路89,021-57541682,201413,杜仁元,无,71310120MCU182113F
天主教,上海市奉贤区南桥圣伯多禄堂,固定处所,奉贤区,上海市奉贤区南桥新城百富路,无,201499,卢庆林,无,71310120MCU182121A
天主教,上海市奉贤区柘林耶稣升天堂,固定处所,奉贤区,上海市奉贤区柘林镇沪杭公路寺胡路,无,201417,卢庆林,全国重点文物保护单位,71310120MCU182324Y
基督教,崇明区基督教长江聚会点,固定处所,崇明区,上海市崇明区长江农场原电子仪器厂生活区,021-59666917,202153,陈锐兰,无,7131015155594702XM
基督教,崇明区基督教丰恩堂,寺观教堂,崇明区,上海市崇明区长兴镇长月牙港路金淼路,15721077417,201913,刘士珍,无,71310151756111405M
基督教,崇明区基督教合作聚会点,固定处所,崇明区,上海市崇明区庙镇保安村10组,021-59382054,202153,周静,无,713101515821119499
基督教,崇明区三星基督教堂,寺观教堂,崇明区,上海市崇明区三星镇纯阳村7队,021-59609471,202152,徐杏英,无,71310151768381015R
基督教,崇明区基督教合心聚会点,固定处所,崇明区,上海市崇明区长兴镇合心村2组100号,021-56855004,201913,刘志英,无,71310151424866895X
基督教,崇明区新村基督教堂,寺观教堂,崇明区,上海市崇明区新村乡新浜村1480号,021-59651440,202172,顾秀兰,无,71310151768764243J
基督教,崇明区基督教跃进聚会点,固定处所,崇明区,上海市崇明区跃进农场279号,无,202071,朱立平,无,713101513511379491
基督教,崇明区城东基督教堂,寺观教堂,崇明区,上海市崇明区城桥镇候东村5组,021-59365513,202150,沈玉萍,无,71310151579125485J
基督教,崇明区汲浜耶稣堂,寺观教堂,崇明区,上海市崇明区中兴镇永隆村1928号,021-69441102,202163,朱靓,无,713101516916307562
基督教,崇明区庙镇基督教堂,寺观教堂,崇明区,上海市崇明区庙镇庙南北路248号,021-59365513,202153,周建忠,无,71310151577465988J
基督教,崇明区堡镇基督教堂,寺观教堂,崇明区,上海市崇明区堡镇营房村470号,021-39662110,202157,蔡建国,无,71310151577451148C
基督教,崇明区崇主堂,寺观教堂,崇明区,上海市崇明区城桥镇周家弄,021-69626566,202150,陈美金,无,713101517672419344
基督教,崇明区港西基督教堂,寺观教堂,崇明区,上海市崇明区港西镇协兴村5组,021-59677715,202154,周静,无,71310151580593366A
基督教,崇明区基督教新河聚会点,固定处所,崇明区,上海市崇明区新河镇兴教村11队,18901615978,202156,郁菊萍,无,71310151MCU077540N
基督教,崇明区基督教绿华聚会点,固定处所,崇明区,上海市崇明区绿华镇华星村城北617号,021-59351226,202151,徐杏英,无,71310151MCU077559K
基督教,崇明区基督教横沙聚会点,固定处所,崇明区,上海市崇明区长兴乡永发1队,021-56892150,201914,陈美,无,71310151MCU077567E
基督教,崇明区基督教港沿聚会点,固定处所,崇明区,上海市崇明区港沿镇齐成村齐村10队,021－59426100,202158,蔡建国,无,71310151MCU0775759
基督教,崇明区基督教陈家镇聚会点,固定处所,崇明区,上海市崇明区陈家镇陈南村,021-69441102,202162,朱靓,无,71310151MCU0775834
佛教（汉语系）,崇明县云林寺,寺观教堂,崇明区,上海市崇明区堡镇登瀛村,021-59450090,202159,仁来,无,71310151774770076P
佛教（汉语系）,崇明县无为寺,寺观教堂,崇明区,上海市崇明县庙镇米洪村,021-59364986,202153,玄洪,无,71310151768378764E
佛教（汉语系）,崇明县天后宫,寺观教堂,崇明区,上海市崇明县城桥镇施翘河,021-59619065,202150,妙一,无,71310151798927955K
佛教（汉语系）,崇明县寿安寺,寺观教堂,崇明区,上海市崇明县涛声路1188号,021-69698981,202150,惟觉,市县级文物保护单位,7131015175855703XD
佛教（汉语系）,崇明县慎修庵,寺观教堂,崇明区,上海市崇明县港西镇静南村,021-59678192,202154,见华,无,71310151766945868N
佛教（汉语系）,崇明县三佛讲寺,固定处所,崇明区,上海市崇明县陈家镇鸿田村,15801863221,202162,乘一,无,71310151685494743L
佛教（汉语系）,崇明县清净庵,寺观教堂,崇明区,上海市崇明县陈家镇德云村,021-59402229,202162,羡圣,无,713101517655570039
佛教（汉语系）,崇明县弥陀院,固定处所,崇明区,上海市崇明县堡镇彷徨村,021-59452147,202157,惟因,无,71310151558768991D
佛教（汉语系）,崇明县觉莲净苑,固定处所,崇明区,上海市崇明县向化镇米新村,021-59447383,202161,星觉,无,71310151558753589J
佛教（汉语系）,崇明县静修寺,寺观教堂,崇明区,上海市崇明县横沙乡民生十组,021-56890466,201914,星源,无,71310151425155905F
佛教（汉语系）,崇明县寒山寺,寺观教堂,崇明区,上海市崇明县城桥镇东门路187号,021-59626211,202150,演煊,无,71310151767920347P
佛教（汉语系）,崇明县广良寺,寺观教堂,崇明区,上海市崇明县陈家镇裕安村,021-59402329,202162,隆飞,无,713101517381105212
佛教（汉语系）,崇明县广福寺,寺观教堂,崇明区,上海市崇明县中兴镇中兴村,021-69445451,202163,玄光,无,713101517611931344
佛教（汉语系）,崇明县观音庵,寺观教堂,崇明区,上海市崇明区堡镇南路83号,021-59420372,202157,正兴,无,713101517585509895
佛教（汉语系）,上海崇明区镇海寺,固定处所,崇明区,上海市崇明区坚新镇仙桥923号,021-69696905,202179,印照,无,71310151071248652Y
佛教（汉语系）,崇明县安乐院,寺观教堂,崇明区,上海市崇明县陈家镇协隆村,021-69430271,202162,妙相,无,7131015179890573XJ
佛教（汉语系）,崇明县缘觉寺,固定处所,崇明区,上海市崇明区长兴镇先丰村凤西路802号,021-56855225,201913,静智,无,71310151051291549X
天主教,崇明大公所天主堂,寺观教堂,崇明区,上海市崇明区港沿镇骏马村,021-59461272,202158,黄政平,无,713101514250183028
天主教,崇明长兴天主堂,寺观教堂,崇明区,上海市崇明区长兴镇潘圆公路1650号,021-56851259,201913,俞健,无,713101513589240050
天主教,崇明十字架堂,寺观教堂,崇明区,上海市崇明区三星镇东安村,021-59602293,202152,范亚强,无,7131015135892518XF
天主教,崇明高宅蔡天主堂,寺观教堂,崇明区,上海市崇明区向化镇春光村,021-59440705,202161,申旭东,无,713101517757591273
天主教,崇明马尔谷天主堂,固定处所,崇明区,上海市崇明区建设镇运南村,无,202157,张永正,无,71310151MCU1824985
天主教,崇明新开河天主堂,寺观教堂,崇明区,上海市崇明区新河镇民主街180号,021-59687437,202156,张永正,无,71310151MCU1825436
天主教,崇明横沙天主堂,寺观教堂,崇明区,上海市崇明区横沙乡丰乐镇,021-56893302,201914,王慎养,无,71310151MCU18256XQ
天主教,崇明西满堂,寺观教堂,崇明区,上海市崇明区港西镇北双村,021-59602293,202154,范亚强,无,71310151MCU182594E
天主教,崇明天神堂,寺观教堂,崇明区,上海市崇明区堡镇凯风村,021-59466426,202157,黄政平,无,71310151MCU182623R
天主教,崇明若翰堂,寺观教堂,崇明区,上海市崇明区堡镇强民路,021-59406215,202157,申旭东,无,71310151MCU182631L
天主教,崇明若瑟堂,寺观教堂,崇明区,上海市崇明区堡镇强民路,021-59416801,202157,黄政平,无,71310151MCU18264XC
